OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,ADMIN_LEVEL,Y,X,YEAR,COUNTRY,DISEASE
7657,Literature,polygon,1,41.5096,19.7381,2003,Albania,Visceral
7194,Literature,polygon,1,40.55,20.24,1998,Albania,Visceral
6864,Literature,polygon,1,41.3309,19.822,2007,Albania,Visceral
7627,Literature,polygon,1,39.9408,20.0966,2003,Albania,Visceral
7542,Literature,polygon,1,41.41,19.52,1998,Albania,Visceral
7493,Literature,polygon,1,40.6452,20.9549,2005,Albania,Visceral
7284,Literature,polygon,1,40.8471,20.2528,2007,Albania,Visceral
7132,Literature,polygon,1,40.3005,20.3572,2004,Albania,Visceral
7465,Literature,polygon,1,41.7877,19.6461,2003,Albania,Visceral
830,Literature,point,-999,41.63,19.71,2001,Albania,Visceral
7390,Literature,polygon,1,40.92,19.63,1999,Albania,Visceral
7452,Literature,polygon,1,41.8,19.66,1997,Albania,Visceral
7454,Literature,polygon,1,41.8,19.66,1999,Albania,Visceral
7142,Literature,polygon,1,40.68,19.94,2001,Albania,Visceral
7232,Literature,polygon,1,40.3277,19.9617,2003,Albania,Visceral
6531,Literature,polygon,1,40.689,20.5545,1996,Albania,Visceral
6896,Literature,polygon,1,40.1306,20.1567,2005,Albania,Visceral
7609,Literature,polygon,1,40.5409,19.7997,2005,Albania,Visceral
7456,Literature,polygon,1,41.8,19.66,2001,Albania,Visceral
7458,Literature,polygon,1,41.7877,19.6461,1996,Albania,Visceral
7464,Literature,polygon,1,41.7877,19.6461,2002,Albania,Visceral
7219,Literature,polygon,1,40.35,19.95,1997,Albania,Visceral
7595,Literature,polygon,1,40.55,19.76,1998,Albania,Visceral
7158,Literature,polygon,1,41.85,19.99,1997,Albania,Visceral
7584,Literature,polygon,1,41.14,19.59,2000,Albania,Visceral
6814,Literature,polygon,1,41.07,20.07,1999,Albania,Visceral
6921,Literature,polygon,1,42.4022,19.6035,2005,Albania,Visceral
7193,Literature,polygon,1,40.55,20.24,1997,Albania,Visceral
7573,Literature,polygon,1,42.2133,20.3739,2002,Albania,Visceral
7567,Literature,polygon,1,42.2133,20.3739,1996,Albania,Visceral
6865,Literature,polygon,1,41.3309,19.822,2008,Albania,Visceral
7216,Literature,polygon,1,41.5754,20.0237,2008,Albania,Visceral
7217,Literature,polygon,1,41.5754,20.0237,2009,Albania,Visceral
7268,Literature,polygon,1,40.85,20.23,1998,Albania,Visceral
7282,Literature,polygon,1,40.8471,20.2528,2005,Albania,Visceral
6961,Literature,polygon,1,42.4012,20.021,2005,Albania,Visceral
6884,Literature,polygon,1,40.02,20.16,2000,Albania,Visceral
7598,Literature,polygon,1,40.55,19.76,2001,Albania,Visceral
